data_type,group_id,k,n,N
germplasm,GP11,0,42,
germplasm,GP13,1,68,
germplasm,GP03,6,75,
germplasm,GP05,0,50,
germplasm,GP05,0,50,
germplasm,GP05,0,50,
germplasm,GP13,0,50,
germplasm,GP13,0,100,
germplasm,GP06,0,130,
germplasm,GP06,0,100,
germplasm,GP06,12,650,
germplasm,GP04,0,100,
germplasm,GP01,0,157,
germplasm,GP03,1,105,
germplasm,GP08,3,184,
germplasm,GP03,1,105,
germplasm,GP03,1,105,
germplasm,GP03,1,52,
germplasm,GP03,0,315,
germplasm,GP08,3,97,
germplasm,GP13,2,26,
germplasm,GP13,0,231,
germplasm,GP08,2,131,
germplasm,GP08,0,25,
germplasm,GP08,0,52,
germplasm,GP03,0,50,
germplasm,GP03,0,40,
germplasm,GP11,6,760,
germplasm,GP03,0,28,
germplasm,GP03,0,100,
germplasm,GP05,0,75,
germplasm,GP08,0,25,
germplasm,GP12,0,100,
germplasm,GP12,1,100,
germplasm,GP13,1,50,
germplasm,GP01,0,50,
germplasm,GP01,4,50,
germplasm,GP08,0,60,
germplasm,GP08,2,50,
germplasm,GP03,0,100,
germplasm,GP13,0,150,
germplasm,GP01,0,29,
germplasm,GP03,0,25,
germplasm,GP03,0,25,
germplasm,GP08,0,50,
germplasm,GP13,3,50,
germplasm,GP12,3,350,
germplasm,GP12,2,51,
germplasm,GP01,2,78,
germplasm,GP03,0,31,
germplasm,GP03,1,22,
germplasm,GP03,0,71,
germplasm,GP03,1,202,
germplasm,GP03,3,320,
germplasm,GP11,2,200,
germplasm,GP12,0,101,
germplasm,GP13,0,136,
germplasm,GP04,0,98,
germplasm,GP05,0,215,
germplasm,GP07,0,52,
germplasm,GP10,0,24,
germplasm,GP10,1,32,
germplasm,GP07,0,210,
germplasm,GP07,0,154,
germplasm,GP07,0,37,
germplasm,GP10,0,501,
germplasm,GP07,4,213,
germplasm,GP07,1,181,
germplasm,GP07,1,49,
germplasm,GP10,4,857,
germplasm,GP04,0,64,
germplasm,GP10,0,381,
germplasm,GP10,0,295,
germplasm,GP07,0,75,
germplasm,GP06,0,73,
germplasm,GP04,0,69,
germplasm,GP04,0,131,
germplasm,GP04,0,146,
germplasm,GP07,1,132,
germplasm,GP05,0,335,
germplasm,GP05,0,253,
germplasm,GP08,0,108,
germplasm,GP12,0,87,
germplasm,GP03,0,41,
germplasm,GP10,0,31,
germplasm,GP10,0,144,
germplasm,GP10,0,21,
germplasm,GP07,0,78,
germplasm,GP07,0,29,
germplasm,GP07,1,111,
germplasm,GP03,0,31,
germplasm,GP13,0,163,
germplasm,GP05,0,23,
germplasm,GP07,0,55,
germplasm,GP10,2,408,
germplasm,GP04,1,203,
germplasm,GP07,0,127,
germplasm,GP07,0,103,
germplasm,GP10,0,454,
germplasm,GP06,0,54,
germplasm,GP10,0,285,
germplasm,GP04,0,161,
germplasm,GP04,0,326,
germplasm,GP06,0,31,
germplasm,GP05,0,120,
germplasm,GP04,0,52,
germplasm,GP10,0,24,
germplasm,GP07,0,128,
germplasm,GP10,0,108,
germplasm,GP04,0,21,
germplasm,GP04,0,32,
germplasm,GP11,4,80,
germplasm,GP07,0,132,
germplasm,GP10,0,172,
germplasm,GP07,0,70,
germplasm,GP07,0,25,
germplasm,GP10,0,109,
germplasm,GP10,0,36,
germplasm,GP10,0,62,
germplasm,GP07,0,77,
germplasm,GP07,0,122,
germplasm,GP10,1,652,
germplasm,GP04,0,140,
germplasm,GP07,2,24,
germplasm,GP10,0,155,
germplasm,GP07,0,41,
germplasm,GP07,0,23,
germplasm,GP10,0,44,
germplasm,GP07,0,66,
germplasm,GP06,0,63,
germplasm,GP07,1,151,
germplasm,GP07,1,33,
germplasm,GP07,1,39,
germplasm,GP10,3,256,
germplasm,GP05,0,897,
germplasm,GP10,2,152,
germplasm,GP04,0,178,
germplasm,GP04,0,397,
germplasm,GP08,0,100,
germplasm,GP07,0,109,
germplasm,GP13,0,620,
germplasm,GP10,0,105,
germplasm,GP07,0,76,
germplasm,GP07,0,123,
germplasm,GP07,0,29,
germplasm,GP04,0,52,
germplasm,GP10,0,94,
germplasm,GP04,0,48,
germplasm,GP04,0,130,
germplasm,GP06,0,34,
germplasm,GP04,0,209,
germplasm,GP06,0,34,
germplasm,GP10,0,255,
germplasm,GP07,0,109,
germplasm,GP10,0,92,
germplasm,GP05,0,324,
germplasm,GP07,0,57,
germplasm,GP10,0,392,
germplasm,GP07,1,216,
germplasm,GP10,0,85,
germplasm,GP04,0,108,
germplasm,GP04,0,275,
germplasm,GP06,0,50,
germplasm,GP06,0,53,
germplasm,GP03,0,56,
germplasm,GP08,0,62,
germplasm,GP03,0,41,
germplasm,GP03,0,45,
germplasm,GP01,0,34,
germplasm,GP10,0,96,
germplasm,GP10,0,214,
germplasm,GP10,0,29,
germplasm,GP07,0,174,
germplasm,GP07,0,168,
germplasm,GP10,0,72,
germplasm,GP07,0,112,
germplasm,GP10,0,104,
germplasm,GP10,2,123,
germplasm,GP04,0,46,
germplasm,GP04,0,173,
germplasm,GP05,0,36,
germplasm,GP03,0,150,
germplasm,GP05,0,200,
germplasm,GP08,0,134,
germplasm,GP03,0,150,
germplasm,GP01,0,67,
germplasm,GP07,0,50,
germplasm,GP13,0,140,
germplasm,GP07,0,139,
germplasm,GP10,3,463,
germplasm,GP04,0,95,
germplasm,GP06,0,43,
germplasm,GP04,0,134,
germplasm,GP06,0,94,
germplasm,GP10,0,197,
germplasm,GP05,0,860,
germplasm,GP05,0,51,
germplasm,GP04,0,100,
germplasm,GP05,1,216,
germplasm,GP07,0,84,
germplasm,GP07,0,112,
germplasm,GP07,0,33,
germplasm,GP10,0,76,
germplasm,GP10,0,508,
germplasm,GP10,0,68,
germplasm,GP10,0,99,
germplasm,GP07,0,116,
germplasm,GP07,1,167,
germplasm,GP07,1,134,
germplasm,GP10,0,160,
germplasm,GP10,0,71,
germplasm,GP04,0,23,
germplasm,GP04,0,102,
germplasm,GP06,0,75,
germplasm,GP04,0,128,
germplasm,GP05,0,496,
germplasm,GP01,0,84,
germplasm,GP05,0,835,
germplasm,GP08,0,67,
germplasm,GP01,0,34,
germplasm,GP01,0,84,
germplasm,GP04,1,54,
germplasm,GP04,1,53,
germplasm,GP01,0,258,
germplasm,GP01,0,106,
germplasm,GP03,0,187,
germplasm,GP10,0,79,
germplasm,GP03,0,161,
germplasm,GP07,0,98,
germplasm,GP07,0,231,
germplasm,GP10,0,517,
germplasm,GP10,0,120,
germplasm,GP13,0,343,
germplasm,GP05,1,108,
germplasm,GP07,0,107,
germplasm,GP10,0,95,
germplasm,GP10,0,32,
germplasm,GP10,0,105,
germplasm,GP04,0,58,
germplasm,GP07,0,55,
germplasm,GP07,0,69,
germplasm,GP10,0,408,
germplasm,GP04,0,40,
germplasm,GP06,0,78,
germplasm,GP06,0,43,
germplasm,GP07,1,105,
germplasm,GP05,0,51,
germplasm,GP05,3,80,
germplasm,GP07,0,219,
germplasm,GP10,1,250,
germplasm,GP10,0,42,
germplasm,GP10,0,93,
germplasm,GP04,0,143,
germplasm,GP03,0,26,
germplasm,GP03,0,61,
germplasm,GP03,0,101,
germplasm,GP05,0,757,
germplasm,GP08,0,149,
germplasm,GP12,0,76,
germplasm,GP03,0,41,
germplasm,GP12,0,101,
germplasm,GP04,0,59,
germplasm,GP05,0,335,
germplasm,GP05,6,416,
germplasm,GP07,0,89,
germplasm,GP07,0,84,
germplasm,GP13,0,53,
germplasm,GP13,0,329,
germplasm,GP04,0,64,
germplasm,GP06,0,44,
germplasm,GP07,0,46,
germplasm,GP05,0,683,
germplasm,GP04,0,65,
germplasm,GP06,0,31,
germplasm,GP07,0,141,
germplasm,GP07,0,25,
germplasm,GP10,0,120,
germplasm,GP10,0,429,
germplasm,GP10,0,60,
germplasm,GP02,0,815,
germplasm,GP13,0,300,
germplasm,GP04,0,136,
germplasm,GP04,0,166,
germplasm,GP03,0,31,
germplasm,GP04,0,108,
germplasm,GP03,0,51,
germplasm,GP05,0,662,
germplasm,GP08,0,31,
germplasm,GP03,0,30,
germplasm,GP13,0,101,
germplasm,GP05,0,40,
germplasm,GP07,1,156,
germplasm,GP07,0,48,
germplasm,GP07,1,167,
germplasm,GP07,0,66,
germplasm,GP07,0,57,
germplasm,GP10,0,67,
germplasm,GP10,0,107,
germplasm,GP05,0,125,
germplasm,GP01,0,258,
germplasm,GP01,0,103,
germplasm,GP03,0,270,
germplasm,GP03,0,155,
germplasm,GP03,0,197,
germplasm,GP04,0,53,
germplasm,GP04,0,216,
germplasm,GP04,0,56,
germplasm,GP05,0,885,
germplasm,GP01,0,24,
germplasm,GP12,0,26,
germplasm,GP04,0,230,
germplasm,GP13,0,99,
germplasm,GP06,0,85,
germplasm,GP06,0,33,
germplasm,GP07,0,188,
germplasm,GP07,0,262,
germplasm,GP10,0,149,
germplasm,GP10,0,100,
germplasm,GP02,0,665,
germplasm,GP10,0,105,
germplasm,GP07,0,42,
germplasm,GP04,0,29,
germplasm,GP06,0,83,
germplasm,GP07,0,90,
germplasm,GP10,0,22,
germplasm,GP10,2,433,
germplasm,GP05,0,200,
germplasm,GP11,5,600,
germplasm,GP04,0,48,
germplasm,GP05,0,429,
germplasm,GP07,0,91,
germplasm,GP07,0,161,
germplasm,GP10,0,33,
germplasm,GP10,0,201,
germplasm,GP10,0,291,
germplasm,GP07,0,210,
germplasm,GP06,0,42,
germplasm,GP07,0,274,
germplasm,GP10,0,37,
germplasm,GP10,0,40,
germplasm,GP01,0,70,
germplasm,GP13,0,70,
germplasm,GP13,0,309,
germplasm,GP13,0,100,
germplasm,GP05,0,100,
germplasm,GP05,0,150,
germplasm,GP01,0,28,
germplasm,GP05,0,60,
germplasm,GP08,0,40,
germplasm,GP10,0,114,
germplasm,GP04,0,83,
germplasm,GP04,0,74,
germplasm,GP07,0,114,
germplasm,GP07,0,114,
germplasm,GP07,0,114,
germplasm,GP03,0,40,
germplasm,GP10,0,114,
germplasm,GP10,0,114,
germplasm,GP06,0,80,
germplasm,GP04,0,120,
germplasm,GP07,0,257,
germplasm,GP07,0,132,
germplasm,GP07,0,111,
germplasm,GP10,0,92,
germplasm,GP02,0,496,
germplasm,GP10,0,159,
germplasm,GP04,0,108,
germplasm,GP06,0,32,
germplasm,GP10,0,382,
germplasm,GP10,0,214,
germplasm,GP07,0,25,
germplasm,GP10,0,337,
germplasm,GP10,0,308,
germplasm,GP04,0,118,
germplasm,GP07,0,137,
germplasm,GP07,0,132,
germplasm,GP07,0,49,
germplasm,GP07,0,34,
germplasm,GP10,0,30,
germplasm,GP10,0,158,
germplasm,GP05,0,403,
germplasm,GP01,0,89,
germplasm,GP03,0,268,
germplasm,GP10,0,25,
germplasm,GP07,0,79,
germplasm,GP10,0,30,
germplasm,GP10,0,25,
germplasm,GP10,0,158,
germplasm,GP11,0,39,
germplasm,GP11,0,175,
germplasm,GP11,0,25,
germplasm,GP11,0,40,
germplasm,GP11,0,45,
germplasm,GP11,0,174,
germplasm,GP11,0,29,
germplasm,GP07,0,236,
germplasm,GP10,0,130,
germplasm,GP12,0,200,
germplasm,GP01,0,67,
germplasm,GP10,0,718,
germplasm,GP04,0,148,
germplasm,GP04,0,68,
germplasm,GP04,0,47,
germplasm,GP04,0,25,
germplasm,GP06,0,78,
germplasm,GP04,0,246,
germplasm,GP05,0,100,
germplasm,GP08,0,200,
germplasm,GP12,0,100,
germplasm,GP07,0,68,
germplasm,GP07,0,34,
germplasm,GP07,0,68,
germplasm,GP10,0,303,
germplasm,GP10,0,34,
germplasm,GP04,0,58,
germplasm,GP02,0,448,
germplasm,GP10,0,102,
germplasm,GP04,0,22,
germplasm,GP04,0,287,
germplasm,GP10,0,34,
germplasm,GP07,0,136,
germplasm,GP07,0,68,
germplasm,GP10,0,34,
germplasm,GP10,0,101,
germplasm,GP03,0,26,
germplasm,GP05,0,405,
germplasm,GP13,0,141,
germplasm,GP12,0,26,
germplasm,GP04,0,64,
germplasm,GP02,0,87,
germplasm,GP07,0,225,
germplasm,GP13,0,60,
germplasm,GP07,0,179,
germplasm,GP10,0,31,
germplasm,GP10,0,64,
germplasm,GP10,0,451,
germplasm,GP04,0,150,
germplasm,GP06,0,37,
germplasm,GP10,0,666,
germplasm,GP11,0,34,
germplasm,GP11,0,40,
germplasm,GP11,0,24,
germplasm,GP06,0,80,
germplasm,GP02,0,23,
germplasm,GP09,0,30,
germplasm,GP09,0,30,
germplasm,GP09,1,30,
germplasm,GP09,1,30,
germplasm,GP09,0,42,
germplasm,GP09,4,43,
germplasm,GP09,0,45,
germplasm,GP09,0,29,
germplasm,GP09,3,45,
germplasm,GP09,3,45,
germplasm,GP09,0,70,
germplasm,GP09,0,55,
germplasm,GP09,0,25,
germplasm,GP09,0,50,
germplasm,GP05,0,100,
germplasm,GP05,0,75,
germplasm,GP09,0,21,
germplasm,GP09,0,26,
germplasm,GP09,0,30,
germplasm,GP09,0,30,
germplasm,GP09,0,30,
germplasm,GP09,0,30,
germplasm,GP09,0,25,
germplasm,GP09,0,30,
germplasm,GP09,0,30,
germplasm,GP09,0,26,
germplasm,GP06,5,280,
germplasm,GP06,5,120,
germplasm,GP09,0,54,
germplasm,GP09,0,36,
germplasm,GP09,0,36,
germplasm,GP05,0,350,
germplasm,GP05,10,250,
germplasm,GP05,8,175,
germplasm,GP11,20,80,
germplasm,GP11,6,80,
germplasm,GP11,4,80,
germplasm,GP11,0,40,
germplasm,GP11,0,40,
germplasm,GP11,39,40,
germplasm,GP09,0,36,
germplasm,GP02,0,30,
germplasm,GP02,5,30,
germplasm,GP02,12,23,
germplasm,GP09,10,30,
germplasm,GP09,0,27,
germplasm,GP09,0,28,
germplasm,GP05,3,200,
germplasm,GP05,0,50,
germplasm,GP05,0,125,
germplasm,GP05,5,125,
germplasm,GP05,9,450,
germplasm,GP05,3,150,
germplasm,GP02,0,26,
germplasm,GP02,0,26,
germplasm,GP02,0,26,
germplasm,GP02,0,26,
germplasm,GP02,0,26,
germplasm,GP09,1,54,
germplasm,GP02,7,30,
germplasm,GP02,3,30,
germplasm,GP02,6,28,
germplasm,GP09,2,30,
germplasm,GP09,0,30,
germplasm,GP09,1,30,
germplasm,GP06,2,150,
germplasm,GP06,3,300,
germplasm,GP05,0,350,
germplasm,GP11,3,60,
germplasm,GP11,1,60,
germplasm,GP11,0,60,
germplasm,GP09,0,30,
germplasm,GP09,0,21,
germplasm,GP09,0,27,
germplasm,GP09,0,30,
germplasm,GP09,0,54,
germplasm,GP09,0,36,
germplasm,GP05,0,70,
germplasm,GP05,0,35,
germplasm,GP05,0,50,
germplasm,GP05,9,55,
germplasm,GP02,69,118,
germplasm,GP02,13,30,
germplasm,GP02,0,35,
germplasm,GP09,0,33,
germplasm,GP06,0,150,
germplasm,GP06,0,300,
germplasm,GP02,0,26,
germplasm,GP09,0,42,
germplasm,GP09,0,30,
